InstitutionName,2019
Boston University,10
Carnegie Mellon University,14
Cornell University,15
CUNY,30
Georgetown University,23
Harvard University,10
Indiana University at Bloomington,15
Johns Hopkins University,10
Michigan State University,10
MIT,17
New York University,24
Northwestern U,8
Ohio State University Main Campus,16
Purdue,27
Rice University,6
Rutgers University at New Brunswick,16
San Diego State University,5
Stanford University,15
State University of New York at Stony Brook,18
University at Buffalo (SUNY),13
University of Arizona,20
University of California at Berkeley,13
University of California at Los Angeles,18
University of California at San Diego,13
University of California at Santa Barbara,16
University of California at Santa Cruz,14
University of Chicago,17
University of Colorado at Boulder,10
University of Connecticut,11
University of Delaware,12
University of Florida,27
University of Georgia,14
University of Hawaii-Manoa,8
University of Illinois at Urbana-Champaign,16
University of Iowa,8
University of Kansas,9
University of Louisiana at Lafayette,2
University of Maryland at College Park,14
University of Massachusetts at Amherst,20
University of Michigan at Ann Arbor,17
University of Minnesota-Twin Cities,6
University of New Mexico Main Campus,14
University of Oregon,13
University of Pennsylvania,21
University of Southern California,23
University of Texas at Austin,21
University of Washington,18
University of Wisconsin at Madison,8
Yale University,10
